S.No,Disease,Symptoms,Treatment,Medicine,Treatment Duration,Medicine Duration
271,Rickets,Bone pain,Supplements,"Vitamin D, Calcium",Months,3–6 months
272,Rosacea,Facial redness,Topical meds,Metronidazole,Chronic,As needed
273,Rotavirus,"Diarrhea, vomiting",Rehydration,ORS,3–5 days,As needed
274,Scleroderma,Skin thickening,Immunosuppressants,Methotrexate,Chronic,Chronic
275,Scurvy,"Weakness, bleeding",Vitamin C,Vitamin C,Weeks,1–3 months
276,SAD,Winter depression,"Light therapy, meds",SSRIs,Seasonal,3–6 months
277,Sepsis,"Fever, confusion","Antibiotics, ICU",Broad-spectrum antibiotics,Immediate,7–14 days
278,Septic Arthritis,"Joint pain, fever","Drainage, antibiotics","Vancomycin, Ceftriaxone",2–6 weeks,2–6 weeks
279,Shingles,Painful rash,Antivirals,"Acyclovir, Valacyclovir",7–10 days,7–10 days
280,Sickle Cell Disease,Pain crises,"Pain meds, transfusions",Hydroxyurea,Lifelong,Lifelong
281,Skin Cancer,"Moles, lesions","Surgery, immunotherapy","Nivolumab, Pembrolizumab",Months,Per cycle
282,Sleep Apnea,"Snoring, drowsiness","CPAP, lifestyle",None,Lifelong,N/A
283,Smallpox,"Rash, fever",Vaccination,None,Eradicated,N/A
284,Spina Bifida,"Paralysis, bladder issues","Surgery, therapy",None,Lifelong,N/A
285,Strep Throat,"Sore throat, fever",Antibiotics,"Penicillin, Amoxicillin",7–10 days,7–10 days
286,Stroke,"Weakness, speech issues",Emergency care,Thrombolytics,Immediate,1 dose
287,SLE,"Fatigue, rash",Immunosuppressants,Hydroxychloroquine,Lifelong,Lifelong
288,Syphilis,"Sores, rash",Antibiotics,Penicillin,Single dose,1–2 doses
289,Tetanus,Muscle spasms,"Antitoxin, antibiotics","TIG, Penicillin",10 days,10 days
290,Thalassemia,Anemia,Transfusions,None,Lifelong,N/A
291,Thyroid Cancer,Neck lump,"Surgery, RAI",Levothyroxine,Lifelong,Lifelong
292,Tinea,Itchy skin,Antifungal creams,Clotrimazole,2–4 weeks,2–4 weeks
293,Tonsillitis,Sore throat,"Antibiotics, rest",Penicillin,7–10 days,7–10 days
294,Tuberculosis,"Cough, weight loss",Antibiotics,"INH, Rifampicin",6–9 months,6–9 months
295,Tularemia,"Ulcers, fever",Antibiotics,Streptomycin,10–21 days,10–21 days
296,Turner Syndrome,"Short height, infertility",Hormones,"GH, Estrogen",Years,Lifelong
297,Ulcerative Colitis,"Diarrhea, pain",Anti-inflammatory drugs,"Mesalamine, Steroids",Lifelong,Lifelong
298,UTI,Painful urination,Antibiotics,"Nitrofurantoin, Cipro",3–7 days,3–7 days
299,Uterine Fibroids,Heavy bleeding,"Surgery, meds",GnRH agonists,3–6 months,3–6 months
300,Varicella,"Itchy rash, fever","Supportive, antivirals",Acyclovir,5–7 days,5–7 days
301,Vitiligo,White patches on skin,NB?UVB phototherapy + topical steroids,"Corticosteroids, Tacrolimus",2–3 times/week NB?UVB for 6–12 months,Tacrolimus: up to 12 months; corticosteroids: evaluate at 3–6 months
302,Vocal Cord Nodules,"Hoarseness, breathy voice","Voice therapy, surgery",Not applicable,Voice therapy: 2–6 months; surgery recovery: up to 6 months,Not applicable
303,Waldenström Macroglobulinemia,"Fatigue, bleeding, neuropathy","Chemotherapy, plasmapheresis","Rituximab, Cyclophosphamide",Approximately 6 chemotherapy cycles (~18 weeks),Rituximab: every 3–4 weeks; Cyclophosphamide: ~18 weeks
304,Warts,Skin bumps,"Cryotherapy, topical treatment",Salicylic acid,Cryotherapy weekly for 3–4 weeks; topical treatment up to 12 weeks,Daily for up to 12 weeks
305,West Nile Virus Infection,"Fever, rash, neurological symptoms",Supportive care,Not applicable,Acute phase typically lasts 2–3 weeks,Not applicable
306,Whooping Cough (Pertussis),"Severe cough, vomiting",Antibiotics,"Azithromycin, Erythromycin",Azithromycin: 5 days; Erythromycin: 7–14 days,Same as treatment duration
307,Wilson’s Disease,"Liver disease, neurological symptoms",Lifelong chelation therapy,"Penicillamine, Trientine",Lifelong control of copper levels,Lifelong administration
308,Xeroderma Pigmentosum,"Extreme UV sensitivity, skin cancers",Strict UV protection,Not applicable,Lifelong protection from UV exposure,Not applicable
309,Yellow Fever,"Fever, jaundice, bleeding",Supportive care,Not applicable,Symptomatic care for approximately 2 weeks,Not applicable
310,Zika Virus Infection,"Fever, rash, joint pain",Supportive care,Not applicable,Symptomatic care for about 1 week,Not applicable
311,Adenomyosis,"Heavy menstrual bleeding, pelvic pain",Hormonal therapy or surgery,"NSAIDs, Hormonal contraceptives",Hormonal therapy: 3–6 months; surgery recovery: 4–6 weeks,NSAIDs: per menstrual cycle; contraceptives: ongoing
312,Addison’s Disease,"Fatigue, weight loss, low blood pressure",Hormone replacement therapy,"Hydrocortisone, Fludrocortisone",Lifelong replacement therapy,Lifelong treatment
313,Adhesive Capsulitis,"Shoulder pain, stiffness",Physical therapy + steroids,"NSAIDs, Corticosteroids",Physical therapy: 4–6 months; steroids: 2–4 weeks,NSAIDs: as needed; corticosteroids: 2–4 weeks
314,Age-related Macular Degeneration,Central vision loss,Anti?VEGF injections,Anti?VEGF drugs,"Monthly injections for ~3–6 months, then as needed",Same as treatment duration
315,Aicardi Syndrome,"Seizures, developmental delay",Symptom management,Antiepileptics,Lifelong seizure management,Ongoing as prescribed
316,Akathisia,"Restlessness, anxiety","Medication adjustment, beta blockers","Beta blockers, Benzodiazepines",Weeks to months until symptoms stabilize,Until symptoms resolve
317,Albinism,"Lack of pigment, vision problems",UV protection and vision support,Not applicable,Lifelong protective measures,Not applicable
318,Alcoholic Liver Disease,"Jaundice, fatigue",Abstinence and supportive care,Not applicable,Depends on sustained abstinence and liver recovery,Not applicable
319,Alopecia Areata,Patchy hair loss,Steroids and immunotherapy,Corticosteroids,Injections every 4–6 weeks for 3–6 months,Same as treatment duration
320,Alpha?1 Antitrypsin Deficiency,Lung and liver disease,Weekly augmentation therapy,Alpha?1 antitrypsin,Weekly infusions indefinitely,Weekly infusions indefinitely
321,ALS (Amyotrophic Lateral Sclerosis),"Muscle weakness, twitching",Supportive care,Riluzole,Lifelong symptomatic support,Lifelong therapy
322,Alternating Hemiplegia of Childhood,Recurrent paralysis,Symptom management,Flunarizine,Chronic symptom management,Chronic medication
323,Amebiasis,"Diarrhea, abdominal pain",Metronidazole therapy,Metronidazole,7–10 days,7–10 days
324,Anemia of Chronic Disease,"Fatigue, weakness",Treat underlying condition,Not applicable,Duration depends on primary disease management,Not applicable
325,Anosmia,Loss of smell,Underlying cause treatment,Not applicable,Weeks to months based on cause,Not applicable
326,Anthrax,"Skin ulcers, respiratory distress",Antibiotic therapy,"Ciprofloxacin, Doxycycline",Cutaneous: 7–10 days; inhalational: 60 days,Same as treatment duration for each form
327,Anxiety Disorder,"Excessive worry, restlessness",Therapy + medications,"SSRIs, Benzodiazepines",SSRI treatment: at least 6 months; benzodiazepines: <4 weeks,SSRI: at least 6 months; benzodiazepines: ?4 weeks
328,Aortic Aneurysm,"Often asymptomatic, chest/back pain",Surgical repair,Beta blockers,Post-surgery recovery: ~6 weeks,Ongoing maintenance therapy
329,Aortic Stenosis,"Chest pain, shortness of breath",Valve replacement surgery,Not applicable,Recovery: approximately 6 weeks,Not applicable
330,Aphasia,Difficulty speaking/understanding,Speech therapy,Not applicable,Therapy continues for months to years,Not applicable
331,Apnea of Prematurity,Pauses in newborn breathing,Respiratory support,Caffeine citrate,Until infant reaches ~35–37 weeks gestational age,Same as treatment duration
332,Appendicitis,"Abdominal pain, fever",Surgery + antibiotics,Cefazolin/metronidazole (standard),Surgery within 24 hrs; antibiotics for 5–7 days post-op,Same as treatment duration
333,Aplastic Anemia,"Fatigue, infections",ATG therapy + stem cell transplant,Antithymocyte globulin,ATG for 5 days; transplant preparation varies,5 days of ATG therapy
334,Arrhythmia,"Palpitations, dizziness",Medication and/or ablation,"Beta blockers, Amiodarone",Beta blockers: ongoing; Amiodarone: months to years,Same as treatment duration
335,Asperger’s Syndrome,"Social difficulties, repetitive behaviors",Behavioral therapy,Not applicable,Ongoing therapy-based interventions,Not applicable
336,Astigmatism,Blurred vision,Corrective lenses or surgery,Not applicable,Glasses lifelong; post-surgery recovery: ~6 weeks,Not applicable
337,Atherosclerosis,Chest/leg pain,Lifestyle changes + medication,"Statins, Antiplatelets",Lifestyle changes: lifelong; statins: lifelong,Lifelong medication
338,Atopic Dermatitis,"Itchy, inflamed skin",Moisturizers + topical steroids,Topical corticosteroids,Steroid application: 1–2 weeks; moisturizer: ongoing,Steroids: 1–2 weeks; moisturizers ongoing
339,Atrial Fibrillation,"Irregular heartbeat, palpitations",Rate control and anticoagulation,"Beta blockers, Warfarin",Anticoagulation: ?3 months; beta blockers: ongoing,Anticoagulation: ?3 months; beta blockers lifelong
340,Autism Spectrum Disorder,Social interaction issues,Behavioral therapy,Not applicable,Continuous developmental support,Not applicable
341,Autoimmune Hepatitis,"Fatigue, jaundice",Prednisone + Azathioprine,"Prednisone, Azathioprine",Induction: 6–12 months; maintenance: years,Ongoing maintenance therapy
342,Barrett’s Esophagus,"Heartburn, acid reflux",Proton pump inhibitors ± surgery,Proton pump inhibitors,PPI: lifelong; surgery recovery: ~6 weeks,Lifelong PPI therapy
343,Bell’s Palsy,Sudden facial weakness,Corticosteroids + physical therapy,Prednisone,Steroids for 10 days; physiotherapy: ~4 weeks,10-day corticosteroid course
344,Benign Prostatic Hyperplasia,"Frequent urination, weak flow",Medication ± surgery,"Alpha blockers, 5-alpha reductase inhibitors",Alpha blockers: ongoing; 5-ARIs: 6–12 months,Alpha blockers ongoing; 5-ARIs: 6–12 months
345,Bipolar Disorder,"Mood swings, depression, mania",Mood stabilizers + therapy,"Lithium, Valproate",Stabilizers: lifelong; therapy: ongoing,Lithium/Valproate: lifelong treatment
346,Bladder Cancer,"Blood in urine, pelvic pain",Surgery + BCG or chemotherapy,"BCG, Cisplatin",BCG: weekly for 6 weeks; Cisplatin cycles vary,Same as treatment duration
347,Blepharitis,"Eyelid inflammation, redness",Eyelid hygiene + antibiotics,Topical antibiotics,Hygiene: ongoing; antibiotic drops: 2–4 weeks,2–4 weeks
348,Blood Clots (DVT),"Swelling, leg pain",Heparin and Warfarin,"Heparin, Warfarin",Heparin bridge: 5–7 days; Warfarin: at least 3 months,Same as treatment duration
349,Body Dysmorphic Disorder,Obsession with perceived flaws,Therapy + medication,SSRIs,Therapy: ongoing; SSRIs: at least 12 months,SSRI treatment: ?12 months
350,Botulism,"Muscle weakness, paralysis",Antitoxin + supportive care,Botulinum antitoxin,Single antitoxin dose; supportive care lasts days–weeks,Single antitoxin dose
351,Brain Tumors,"Headaches, seizures","Surgery, radiation therapy",Chemotherapy,6 months to 1 year,Depends on cycles (21-day cycle)
352,Bronchiectasis,"Chronic cough, mucus production","Antibiotics, physiotherapy","Amoxicillin, Azithromycin",2–4 weeks,7–14 days
353,Bronchitis,"Cough, mucus production",Supportive care,"Bronchodilators, Prednisolone",1–2 weeks,5–10 days
354,Bruxism,"Teeth grinding, jaw pain","Mouthguards, stress management",None,Long-term,Not applicable
355,Bulimia Nervosa,"Binge eating, purging","Therapy, nutritional counseling",Fluoxetine (SSRI),Several months,Once daily (20–60 mg/day)
356,Bursitis,"Joint pain, swelling","Rest, NSAIDs","Ibuprofen, Naproxen",1–2 weeks,5–10 days
357,C. difficile Infection,"Severe diarrhea, abdominal pain",Antibiotics,"Vancomycin, Metronidazole",10–14 days,10–14 days
358,Candidiasis (Thrush),White patches in mouth/genitals,Antifungals,"Fluconazole, Nystatin",1–2 weeks,7–14 days
359,Carpal Tunnel Syndrome,"Hand numbness, tingling","Splinting, surgery",NSAIDs,Weeks to months,7–10 days (for NSAIDs)
360,Cataracts,"Blurred vision, glare sensitivity",Surgery,None,One-time surgical,Not applicable
361,Celiac Disease,"Diarrhea, abdominal pain",Gluten-free diet,None,Lifelong,Not applicable
362,Central Sleep Apnea,"Pauses in breathing, sleepiness","CPAP, surgery",None,Lifelong,Not applicable
363,Cerebral Palsy,"Motor impairment, spasticity","Therapy, surgery",None,Lifelong,Not applicable
364,Cervical Cancer,"Abnormal bleeding, pelvic pain","Surgery, chemotherapy","Cisplatin, Radiation therapy",Several months,Weekly (for chemo)
365,Chalazion,"Eyelid lump, swelling","Warm compress, surgery",None,Few weeks,Not applicable
366,Chickenpox,"Itchy rash, fever",Supportive care,Acyclovir (in some cases),1–2 weeks,5–7 days (if given)
367,Chlamydia,"Painful urination, discharge",Antibiotics,"Azithromycin, Doxycycline",Single dose or 7 days,1 day (Azithro) / 7 days (Doxy)
368,Chronic Fatigue Syndrome,"Extreme fatigue, cognitive issues",Symptom management,None,Long-term,Not applicable
369,Chronic Kidney Disease,"Fatigue, swelling, decreased urination","Dialysis, transplant",Erythropoietin,Lifelong,1–3 times/week
370,COPD,"Shortness of breath, cough","Smoking cessation, inhalers","Bronchodilators, Steroids",Lifelong,As needed/daily
371,Cirrhosis,"Fatigue, jaundice, swelling","Lifestyle changes, medication","Diuretics, Lactulose",Long-term,Daily
372,Cleft Lip/Palate,"Facial deformity, feeding difficulties","Surgery, speech therapy",None,Surgical + follow-up,Not applicable
373,Clostridium Difficile Infection,"Severe diarrhea, abdominal pain",Antibiotics,"Vancomycin, Fidaxomicin",10–14 days,10–14 days
374,Cluster Headache,"Severe unilateral headache, eye tearing","Oxygen therapy, medications","Sumatriptan, Verapamil",As needed,"Daily (Verapamil), PRN (Sumatriptan)"
375,Coeliac Disease,"Diarrhea, bloating",Gluten-free diet,None,Lifelong,Not applicable
376,Cockayne Syndrome,"Growth failure, photosensitivity",Symptom management,None,Lifelong,Not applicable
377,Colitis,"Abdominal pain, diarrhea",Anti-inflammatory drugs,"Mesalamine, Corticosteroids",Variable (weeks–months),4–8 weeks
378,Colon Cancer,"Blood in stool, weight loss","Surgery, chemotherapy","5-FU, Oxaliplatin",4–6 months,Per chemo cycle
379,Common Cold,"Runny nose, sore throat",Supportive care,"Decongestants, analgesics",5–7 days,3–5 days
380,Complex Regional Pain Syndrome,"Chronic pain, swelling","Physical therapy, medications","NSAIDs, Corticosteroids",Months to years,Varies
381,Conjunctivitis (Pink Eye),"Red eyes, discharge","Antibiotics, antihistamines","Tobramycin, Olopatadine",5–7 days,3–5 days
382,Coronary Artery Disease,"Chest pain, shortness of breath","Lifestyle changes, medications","Statins, Beta blockers",Lifelong,Daily
383,Costochondritis,Chest pain,NSAIDs,"Ibuprofen, Naproxen",1–2 weeks,5–7 days
384,Crohn’s Disease,"Abdominal pain, diarrhea",Immunosuppressants,"Azathioprine, Infliximab",Long-term,Weekly/monthly
385,Cushing’s Syndrome,"Weight gain, hypertension","Surgery, medications","Ketoconazole, Metyrapone",Months,Daily
386,Cyclothymic Disorder,"Mood swings, mild depression/hypomania","Therapy, medications","Mood stabilizers (e.g., Lithium)",Long-term,Daily
387,Cytomegalovirus Infection,"Fever, fatigue",Antivirals,"Ganciclovir, Valganciclovir",14–21 days,2–3 weeks
388,Dandruff,"Flaking scalp, itching",Medicated shampoos,Ketoconazole shampoo,As needed,2–3x/week
389,Dehydration,"Thirst, dizziness",Rehydration,Oral rehydration salts,1–2 days,Until symptoms resolve
390,Dementia,"Memory loss, confusion",Supportive care,"Donepezil, Memantine",Long-term,Daily
391,Dengue Fever,"High fever, joint pain",Supportive care,None,1–2 weeks,Not applicable
392,Depression,"Persistent sadness, loss of interest","Therapy, medications","SSRIs, SNRIs",Months to years,Daily
393,Dermatitis,"Itchy rash, redness",Topical steroids,"Hydrocortisone, Betamethasone",1–2 weeks,5–7 days
394,Diabetes Mellitus Type 1,"Frequent urination, thirst",Insulin therapy,Insulin,Lifelong,Daily (2–4 injections)
395,Diabetes Mellitus Type 2,"Frequent urination, thirst","Lifestyle, oral meds","Metformin, Sulfonylureas",Lifelong,Daily
396,Diabetic Retinopathy,"Vision loss, floaters","Laser therapy, injections","Anti-VEGF drugs (e.g., Ranibizumab)",Months to years,Monthly injection
397,Diarrhea,Frequent loose stools,Rehydration,ORS (Oral Rehydration Salts),1–3 days,Until hydration achieved
398,Diffuse Large B-Cell Lymphoma,"Swollen lymph nodes, fever","Chemotherapy, radiation",R-CHOP regimen,6 months (avg),Every 21 days (cycle)
399,Diptheria,"Sore throat, fever","Antitoxin, antibiotics","Erythromycin, Penicillin",10–14 days,10–14 days
400,Discoid Lupus Erythematosus,"Skin rash, scarring",Topical steroids,Corticosteroids,Weeks to months,Daily application
401,Diverticulitis,"Abdominal pain, fever","Antibiotics, surgery","Ciprofloxacin, Metronidazole",1–2 weeks,7–10 days
402,Down Syndrome,"Intellectual disability, facial features",Supportive therapy,None,Lifelong,Not applicable
403,Drug-Induced Liver Injury,"Jaundice, fatigue",Stop offending drug,None,Until recovery,Not applicable
404,Duchenne Muscular Dystrophy,Muscle weakness,"Physical therapy, steroids",Prednisone,Long-term,Daily
405,Duodenal Ulcer,"Abdominal pain, nausea","Antacids, antibiotics","Omeprazole, Amoxicillin",2–4 weeks,10–14 days
406,Dupuytren’s Contracture,Finger contracture,"Surgery, needle aponeurotomy",None,Single procedure,Not applicable
407,Dysentery,Diarrhea with blood,Antibiotics,Ciprofloxacin,3–5 days,3–5 days
408,Dyslexia,Reading difficulties,Educational interventions,None,Ongoing,Not applicable
409,Dyspepsia,"Indigestion, bloating","Lifestyle changes, meds","Antacids, Ranitidine",1–2 weeks,5–7 days
410,Eczema,"Itchy, inflamed skin","Moisturizers, steroids",Hydrocortisone cream,1–2 weeks,5–7 days
411,Edema,Swelling from fluid retention,Treat cause,"Furosemide, Spironolactone",Depends on cause,Daily
412,Ehlers-Danlos Syndrome,"Hyperflexible joints, fragile skin",Symptom management,None,Lifelong,Not applicable
413,Ehrlichiosis,"Fever, headache",Antibiotics,Doxycycline,7–14 days,7–14 days
414,Emphysema,Shortness of breath,"Oxygen therapy, smoking cessation","Bronchodilators, steroids",Lifelong,Daily/as needed
415,Endometriosis,"Pelvic pain, heavy periods","Hormonal therapy, surgery","NSAIDs, Oral contraceptives",Months to years,Daily
416,Enteritis,"Diarrhea, abdominal pain","Hydration, antibiotics",Ciprofloxacin,5–7 days,5–7 days
417,Epidermolysis Bullosa,"Fragile skin, blistering",Wound care,None,Lifelong,Not applicable
418,Epilepsy,Seizures,Antiepileptic drugs,"Valproate, Carbamazepine",Long-term,Daily
419,Erectile Dysfunction,Inability to maintain erection,"Lifestyle, medications","Sildenafil, Tadalafil",As needed,1 tablet before activity
420,Esophageal Cancer,"Swallowing issues, weight loss","Surgery, chemotherapy",Cisplatin,Several months,Weekly cycles
421,Esophageal Varices,"Vomiting blood, pain","Endoscopy, meds",Propranolol,Lifelong (if chronic),Daily
422,Essential Tremor,"Shaking hands, head tremors","Beta blockers, therapy",Propranolol,Long-term,Daily
423,Exophthalmos,Bulging eyes,Treat underlying cause,Prednisone,Weeks to months,Daily
424,Fatty Liver Disease,"Fatigue, discomfort",Lifestyle changes,None,Months to years,Not applicable
425,Fibromyalgia,"Pain, fatigue","Physical therapy, meds","Pregabalin, Duloxetine",Long-term,Daily
426,Fibrosis,Tissue scarring,Treat underlying cause,None,Depends on cause,Not applicable
427,Fungal Nail Infection,"Discolored, thick nails",Antifungal meds,Terbinafine,6–12 weeks,Daily
428,Gallstones,"Abdominal pain, nausea",Surgery,None,One-time surgical,Not applicable
429,Gastritis,"Stomach pain, nausea","Antacids, antibiotics",Omeprazole,2–4 weeks,Daily
430,Gastroenteritis,"Diarrhea, vomiting",Hydration,None,1–3 days,Not applicable
431,GERD,"Heartburn, regurgitation","Lifestyle, medications","Omeprazole, Ranitidine",4–6 weeks,Daily
432,Genital Herpes,"Painful sores, itching",Antiviral therapy,"Acyclovir, Valacyclovir",7–10 days (acute),Daily/suppressive
433,Giant Cell Arteritis,"Headache, vision problems",Steroids,Prednisone,Months,Daily
434,Gingivitis,"Gum bleeding, swelling",Oral hygiene,None,Ongoing,Not applicable
435,Glaucoma,"Vision loss, eye pain","Eye drops, surgery","Timolol, Latanoprost",Lifelong,Daily
436,Glioblastoma,"Headache, neuro deficits","Surgery, chemotherapy",Temozolomide,6 months (typical),Daily during cycle
437,Goiter,Neck swelling,"Iodine supplements, surgery",None,Weeks to months,Not applicable
438,Gonorrhea,"Painful urination, discharge",Antibiotics,Ceftriaxone,Single dose,Single injection
439,Gout,"Joint pain, swelling",Anti-inflammatory drugs,"NSAIDs, Colchicine",5–7 days (acute),3–7 days
440,Graves’ Disease,"Weight loss, heat intolerance","Antithyroid drugs, surgery","Methimazole, Propylthiouracil",Months to years,Daily
441,Guillain-Barré Syndrome,"Muscle weakness, paralysis",Immunotherapy,"IVIG, Plasmapheresis",5–10 days (IVIG),Daily
442,Hair Loss (Alopecia),Hair thinning or bald patches,"Steroids, topical therapy","Minoxidil, Corticosteroids",Months to years,Daily application
443,"Hand, Foot, and Mouth Disease","Fever, sores, rash",Supportive care,None,7–10 days,Not applicable
444,Hashimoto’s Thyroiditis,"Fatigue, weight gain",Thyroid hormone replacement,Levothyroxine,Lifelong,Daily
445,Hemophilia,Excessive bleeding,Clotting factor replacement,Factor VIII or IX,As needed,Based on bleeding events
446,Hemorrhoids,"Pain, swelling near anus","Lifestyle, surgery",Hydrocortisone cream,1–2 weeks,Daily
447,Hepatitis A,"Jaundice, fatigue",Supportive care,None,1–2 weeks,Not applicable
448,Hepatitis B,"Fatigue, jaundice",Antiviral therapy,"Tenofovir, Entecavir",Months to years,Daily
449,Hepatitis C,"Often asymptomatic, fatigue",Antiviral therapy,"Sofosbuvir, Ledipasvir",8–12 weeks,Daily
450,Herpes Simplex Virus,Painful blisters,Antiviral therapy,Acyclovir,7–10 days,Daily
451,Hidradenitis Suppurativa,"Painful lumps, abscesses","Antibiotics, surgery","Clindamycin, Doxycycline",Weeks to months,4–6 weeks
452,Hirschsprung’s Disease,"Severe constipation, abdominal swelling",Surgery,None,One-time surgical,Not applicable
453,Histoplasmosis,"Fever, cough",Antifungal therapy,Itraconazole,6–12 weeks,Daily
454,Hodgkin’s Lymphoma,"Swollen lymph nodes, fever","Chemotherapy, radiation",ABVD regimen,Several months,Per chemo cycle
455,HPV Infection,"Genital warts, asymptomatic","Cryotherapy, topical treatments","Imiquimod, Podophyllotoxin",Weeks to months,Daily application
456,Huntington’s Disease,"Movement disorders, cognitive decline",Symptom management,Tetrabenazine,Lifelong,Daily
457,Hydrocephalus,"Head enlargement, developmental delays",Surgery (shunt placement),None,One-time surgical,Not applicable
458,Hyperthyroidism,"Weight loss, heat intolerance","Antithyroid meds, surgery",Methimazole,Months to years,Daily
459,Hypothyroidism,"Fatigue, weight gain",Thyroid hormone replacement,Levothyroxine,Lifelong,Daily
460,Influenza,"Fever, cough, body aches","Supportive care, antivirals",Oseltamivir,5–7 days,Twice daily
461,Interstitial Lung Disease,"Shortness of breath, dry cough","Steroids, antifibrotics","Pirfenidone, Nintedanib",Long-term,Daily
462,Iron Deficiency Anemia,"Fatigue, pallor",Iron supplements,Ferrous sulfate,3–6 months,Daily
463,Irritable Bowel Syndrome,"Abdominal pain, altered bowel habits","Diet changes, medications",Antispasmodics,Weeks to months,As needed
464,Kawasaki Disease,"Fever, rash, swollen lymph nodes",IVIG therapy,Intravenous immunoglobulin,1–2 days,Single infusion
465,Kidney Stones,"Severe flank pain, blood in urine","Pain management, surgery",NSAIDs,Few days,3–5 days
466,Klinefelter Syndrome,"Small testes, infertility",Hormone replacement,Testosterone,Lifelong,Weekly/monthly injection
467,Korsakoff Syndrome,"Memory loss, confabulation",Thiamine supplementation,Thiamine,Weeks to months,Daily
468,Lactose Intolerance,"Bloating, diarrhea after dairy intake",Dietary avoidance,Lactase supplements,Ongoing,With meals
469,Laryngitis,"Hoarseness, sore throat","Voice rest, hydration",None,3–7 days,Not applicable
470,Lassa Fever,"Fever, hemorrhage",Supportive care,Ribavirin,10–14 days,Daily
471,Lichen Planus,"Purplish, itchy rash",Topical steroids,Corticosteroids,2–6 weeks,Daily
472,Liddle Syndrome,High blood pressure,Potassium-sparing diuretics,Amiloride,Lifelong,Daily
473,Limb-Girdle Muscular Dystrophy,Muscle weakness (hips/shoulders),Physical therapy,None,Lifelong,Not applicable
474,Lipoma,"Soft, painless lump",Surgical removal,None,One-time surgical,Not applicable
475,Listeriosis,"Fever, muscle aches",Antibiotics,Ampicillin,2–3 weeks,Daily
476,Lou Gehrig’s Disease (ALS),"Muscle weakness, twitching",Supportive care,Riluzole,Lifelong,Daily
477,Lung Cancer,"Persistent cough, weight loss","Surgery, chemotherapy","Cisplatin, Paclitaxel",Several months,Per chemo cycle
478,Lyme Disease,"Rash, joint pain",Antibiotics,Doxycycline,2–4 weeks,Daily
479,Lymphoma,"Swollen lymph nodes, fever","Chemotherapy, radiation",CHOP regimen,Several months,Per chemo cycle
480,Lymphatic Filariasis,"Limb swelling, fever",Antiparasitic drugs,"Diethylcarbamazine, Albendazole",2–3 weeks,Daily
481,Macular Degeneration,Loss of central vision,Anti-VEGF injections,"Ranibizumab, Aflibercept",Monthly,Monthly injection
482,Malaria,"Fever, chills, sweating",Antimalarial drugs,"Artemisinin, Chloroquine",3–7 days,Daily
483,Marfan Syndrome,"Tall stature, heart problems","Beta blockers, surgery",Propranolol,Lifelong,Daily
484,Mastitis,"Breast pain, redness",Antibiotics,"Dicloxacillin, Cephalexin",7–10 days,Daily
485,Measles,"Rash, fever, cough",Supportive care,None,7–10 days,Not applicable
486,Melanoma,"Dark mole, skin lesion",Surgical removal,None,One-time surgical,Not applicable
487,Meniere’s Disease,"Vertigo, hearing loss","Diet, medications",Betahistine,Long-term,Daily
488,Meningitis,"Fever, stiff neck","Antibiotics, antivirals","Ceftriaxone, Acyclovir",7–14 days,Daily/IV
489,Menopause,"Hot flashes, mood swings",Hormone therapy,Estrogen,Months to years,Daily/Patch
490,Migraine,"Severe headache, nausea","Pain relief, preventive meds","Triptans, Beta blockers",As needed/preventive,Daily/as needed
491,Multiple Myeloma,"Bone pain, anemia","Chemotherapy, steroids","Bortezomib, Lenalidomide",Months,Per chemo protocol
492,Multiple Sclerosis,"Numbness, weakness",Immunomodulatory drugs,"Interferons, Glatiramer acetate",Lifelong,Weekly/Daily
493,Mumps,"Swollen salivary glands, fever",Supportive care,None,7–10 days,Not applicable
494,Muscle Cramps,Sudden muscle pain,"Stretching, hydration",Electrolytes,Minutes to days,As needed
495,Myasthenia Gravis,"Muscle weakness, drooping eyelids","Immunosuppressants, therapy",Pyridostigmine,Long-term,Daily
496,Myocardial Infarction,"Chest pain, shortness of breath","Emergency care, medications","Aspirin, Nitroglycerin",Acute + chronic care,Single dose + daily
497,Myopia (Nearsightedness),Blurred distance vision,"Glasses, surgery",None,Permanent correction,Not applicable
498,Narcolepsy,Excessive daytime sleepiness,Medications,"Modafinil, Sodium oxybate",Lifelong,Daily
499,Necrotizing Fasciitis,"Severe pain, skin necrosis","Surgery, antibiotics","Penicillin, Clindamycin",2–4 weeks,IV/Oral daily
500,Neonatal Jaundice,Yellowing of skin and eyes,Phototherapy,None,1–2 days,Not applicable
501,Neuroblastoma,"Abdominal mass, bone pain","Chemotherapy, surgery","Vincristine, Cyclophosphamide",Several months,Per chemo protocol
502,Neuropathy,"Numbness, tingling",Treat underlying cause,"Gabapentin, Pregabalin",Long-term,Daily
503,Niemann-Pick Disease,"Enlarged liver/spleen, developmental delay",Supportive care,None,Lifelong,Not applicable
504,Night Blindness,Poor vision in low light,Vitamin A supplementation,Vitamin A,Weeks to months,Daily
505,Non-Hodgkin’s Lymphoma,"Swollen lymph nodes, fever","Chemotherapy, radiation",CHOP regimen,Several months,Per chemo cycle
506,Non-Alcoholic Fatty Liver Disease,"Fatigue, abdominal discomfort",Lifestyle changes,None,Months to years,Not applicable
507,Norovirus Infection,"Vomiting, diarrhea",Hydration,None,2–3 days,Not applicable
